procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0    256 427708 432588 6837748    0    0     0     9    4    5  0  0 100  0  0
 0  0    256 414972 432592 6837788    0    0     0    24  805 1945  2  1 97  0  0
 0  0    256 414276 432592 6837792    0    0     0    22  514 1177  1  1 99  0  0
 0  0    256 416844 432592 6837796    0    0     0    94  762 1702  1  1 97  0  0
 0  0    256 419212 432592 6837780    0    0     0   260 1688 3050  1  2 97  0  0
 0  0    256 413732 432592 6837812    0    0     0   309 2257 4442  3  2 95  0  0
 0  0    256 413260 432592 6837860    0    0     0   287 1909 3789  1  2 96  0  0
 0  0    256 418228 432592 6837860    0    0     0   283 2164 4298  3  3 94  0  0
 0  0    256 420796 432592 6837892    0    0     0   276 1958 3837  2  2 96  0  0
 0  0    256 415988 432592 6837928    0    0     0   290 2256 4542  2  3 95  1  0
 0  0    256 417404 432592 6837960    0    0     0   261 1919 3749  1  1 97  0  0
 0  0    256 412916 432592 6837996    0    0     0   270 2186 4335  2  2 96  0  0
 0  0    256 419768 432592 6838012    0    0     0   277 1923 4025  1  1 97  0  0
 0  0    256 413268 432592 6838012    0    0     0   253 2305 4533  2  2 95  0  0
 0  0    256 419644 432592 6838016    0    0     0   262 1869 3573  1  1 97  0  0
 0  0    256 409156 432592 6838100    0    0     0   267 2158 4402  2  2 96  0  0
 0  0    256 416096 432592 6838132    0    0     0   250 2055 4069  2  2 96  0  0
 0  0    256 412760 432592 6838196    0    0     0   256 2247 4635  3  3 94  0  0
 0  0    256 412304 432592 6838196    0    0     0    92  955 1730  1  1 97  0  0
 0  0    256 414744 432592 6838308    0    0     0   332 3261 6167  5  5 90  0  0
 0  0    256 407196 432592 6838376    0    0     0   257 1987 3813  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 409756 432592 6838396    0    0     0   259 2060 4057  2  3 95  0  0
 0  0    256 413164 432592 6838460    0    0     0   243 2065 4031  2  2 96  0  0
 0  0    256 406664 432592 6838512    0    0     0   250 2259 4440  3  2 95  0  0
 0  0    256 406412 432592 6838536    0    0     0   249 1959 3806  2  2 96  0  0
 0  0    256 406000 432592 6838544    0    0     0   247 2189 4196  2  3 95  0  0
 0  0    256 408356 432592 6838560    0    0     0   252 2060 3896  2  2 96  0  0
 1  0    256 402872 432592 6838592    0    0     0   254 2098 4193  2  3 95  0  0
 0  0    256 404472 432592 6838684    0    0     0   274 1931 3538  1  2 96  0  0
 0  0    256 401436 432592 6838732    0    0     0   236 2385 4628  2  2 95  0  0
 0  0    256 401988 432592 6838724    0    0     0   241 2034 3902  2  2 96  0  0
 0  0    256 401112 432592 6838760    0    0     0   252 2246 4321  2  2 96  0  0
 0  0    256 405452 432596 6838796    0    0     0   242 1824 3485  1  2 97  0  0
 0  0    256 408968 432596 6838828    0    0     0   243 2178 4376  2  3 96  0  0
 0  0    256 399648 432596 6838832    0    0     0   241 1975 3864  1  2 97  0  0
 0  0    256 406420 432596 6838900    0    0     0   253 2095 4166  2  2 96  0  0
 0  0    256 408712 432596 6838900    0    0     0   238 1981 3975  2  2 97  0  0
 0  0    256 395792 432596 6838916    0    0     0   245 2272 4578  2  2 96  0  0
 0  0    256 410732 432596 6839000    0    0     0   236 1886 3553  2  1 97  0  0
 0  0    256 400976 432596 6839028    0    0     0   248 2374 4638  2  3 95  0  0
 0  0    256 400296 432596 6839068    0    0     0   234 2120 4131  2  3 95  0  0
 0  0    256 403928 432596 6839088    0    0     0   240 2241 4380  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 406884 432596 6839112    0    0     0   232 1988 3776  2  2 96  0  0
 0  0    256 400712 432596 6839132    0    0     0   230 2217 4537  2  3 95  0  0
 0  0    256 399480 432596 6839200    0    0     0   916 1927 3880  1  2 96  0  0
 6  0    256 413484 432596 6839204    0    0     0   577 2051 3985  2  2 96  0  0
 0  0    256 411260 432596 6839220    0    0     0   390 2033 4014  2  2 96  0  0
 0  0    256 409296 432600 6839224    0    0     0   403 2261 4420  3  3 95  0  0
 0  0    256 409296 432600 6839224    0    0     0   335 2194 4323  2  2 95  0  0
 0  0    256 399604 432600 6839224    0    0     0   368 2174 4166  2  3 94  0  0
 0  0    256 404772 432600 6839232    0    0     0   394 2163 4167  2  3 94  0  0
 0  0    256 402300 432600 6839228    0    0     0   375 2391 4693  3  3 94  0  0
 0  0    256 408400 432600 6839228    0    0     0   385 1947 3661  2  2 95  0  0
 0  0    256 411560 432600 6839260    0    0     0   296 2378 4690  2  2 95  0  0
 0  0    256 406308 432600 6839264    0    0     0   364 2094 4115  2  2 96  0  0
 2  0    256 398088 432604 6839236    0    0     0   306 2292 4542  2  2 95  0  0
 0  0    256 412660 432604 6839236    0    0     0   372 1877 3488  1  1 97  0  0
 0  0    256 412436 432604 6839220    0    0     0   295 2254 4585  2  2 96  0  0
 0  0    256 407520 432604 6839248    0    0     0   358 2058 4091  1  2 97  0  0
 0  0    256 404328 432604 6839272    0    0     0   361 2208 4204  2  2 96  0  0
 0  0    256 406904 432604 6839268    0    0     0   318 1977 3924  1  2 97  0  0
 0  0    256 400944 432604 6839292    0    0     0   349 2259 4713  2  2 95  0  0
 0  0    256 403260 432604 6839308    0    0     0   306 2103 4012  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 400384 432604 6839324    0    0     0   355 2193 4339  2  3 95  0  0
 0  0    256 401336 432604 6839212    0    0     0   138 1302 2302  1  1 97  0  0
 0  0    256 406504 432604 6839212    0    0     0   120  790 1731  1  1 97  0  0
 0  0    256 408080 432604 6839212    0    0     0   119  405  854  1  0 99  0  0
 0  0    256 408664 432604 6838960    0    0     0    94  830 1851  2  1 97  0  0
 0  0    256 404168 432604 6839088    0    0    26    30  508 1194  1  1 99  0  0
 0  0    256 403988 432604 6839092    0    0     0    18  699 1441  1  1 98  0  0
 0  0    256 411780 432604 6839092    0    0     0    38  543 1192  1  1 98  0  0
 0  0    256 406876 432604 6839100    0    0     0     8  827 1882  2  1 97  0  0
 2  0    256 399528 432604 6839100    0    0     0    18  602 1311  1  1 98  0  0
