procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1280 433744 432272 6735404    0    0     0     9    4    1  0  0 100  0  0
 0  0   1280 418944 432272 6735444    0    0     0   122  806 1744  1  1 97  0  0
 0  0   1280 429112 432272 6735468    0    0     0   255  817 1601  1  1 98  0  0
 0  0   1280 425172 432272 6735472    0    0     0   118 1508 3281  1  1 97  0  0
 0  0   1280 422048 432272 6735472    0    0     0   118 1203 2338  2  2 96  0  0
 0  0   1280 420888 432272 6735472    0    0     0    78 1660 3683  2  1 97  0  0
 0  0   1280 419236 432272 6735472    0    0     0   115 1252 2642  1  1 97  0  0
 0  0   1280 425588 432272 6735560    0    0    14   182 1297 2677  2  2 96  0  0
 0  0   1280 425636 432272 6735560    0    0     0   351  916 2013  1  1 97  0  0
 0  0   1280 419440 432272 6735572    0    0     0   278 1246 2756  2  2 96  0  0
 0  0   1280 420768 432272 6735604    0    0     0   291  903 1896  1  1 98  0  0
 0  0   1280 415592 432272 6735640    0    0     0   206 1147 2468  2  2 96  0  0
 0  0   1280 430784 432272 6735672    0    0     0   191  932 2061  1  1 98  0  0
 0  0   1280 422056 432272 6735720    0    0     0   203 1278 2805  1  2 97  0  0
 0  0   1280 422128 432272 6735812    0    0     0   330  840 1698  1  1 97  0  0
 0  0   1280 413688 432272 6735848    0    0     0   226 1312 2742  2  2 96  0  0
 0  0   1280 421072 432272 6735932    0    0    10   190  898 2089  1  1 98  0  0
 0  0   1280 421892 432272 6735964    0    0     0   233 1274 2810  2  2 96  0  0
 0  0   1280 421968 432272 6735996    0    0     0   194  787 1669  1  0 99  0  0
 0  0   1280 424016 432272 6736028    0    0     0   197 1131 2578  2  2 96  0  0
