procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   1280 358912 432308 6809044    0    0     0     9    5    3  0  0 100  0  0
 0  0   1280 344576 432308 6809256    0    0     0   890 3571 7719  4  5 91  1  0
 0  0   1280 341504 432308 6809464    0    0     0  1317 5324 11763  5  7 87  1  0
 4  0   1280 342760 432308 6809728    0    0     0  1278 5322 11622  5  7 87  1  0
 0  0   1280 337824 432308 6809964    0    0     0  1271 5227 10776  4  5 90  1  0
 0  0   1280 341948 432308 6810156    0    0     0  1209 5068 11297  4  5 90  1  0
 1  0   1280 329756 432308 6810360    0    0     0  1100 5244 11212  6  7 87  1  0
 0  0   1280 340648 432308 6810508    0    0     0  1193 5151 10898  4  4 91  1  0
 8  0   1280 340160 432308 6810684    0    0     0  1114 5120 11265  6  6 87  1  0
 2  0   1280 338724 432308 6810880    0    0     0  1226 5246 11806  6  9 85  1  0
 0  0   1280 336928 432308 6811128    0    0     0  1135 5083 11052  3  4 91  1  0
 3  0   1280 342516 432308 6811324    0    0     0  1070 5206 10792  5  5 89  1  0
 3  0   1280 341012 432308 6811260    0    0     0  1126 5294 11200  5  7 87  1  0
 0  0   1280 335524 432308 6811468    0    0     0   981 5399 11781  5  4 90  1  0
 0  0   1280 337860 432308 6811648    0    0     0   978 5065 11056  5  6 88  1  0
 0  0   1280 333076 432308 6811844    0    0     0   961 5325 11779  5  7 88  1  0
 1  0   1280 344356 432308 6812076    0    0     0  1176 5321 11712  5  7 87  1  0
 0  0   1280 334768 432308 6812184    0    0     0   966 5465 11988  8 10 81  1  0
 0  0   1280 342724 432308 6812376    0    0     0  1502 5206 10684  3  4 91  1  0
 4  0   1280 348168 432308 6812572    0    0     0  1394 5323 12050  6  8 86  1  0
 0  0   1280 338824 432308 6812876    0    0     0  1281 5378 12047  7  8 85  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 338888 432312 6813052    0    0     0  1137 4924 11109  4  5 90  1  0
 3  0   1280 336244 432312 6813348    0    0     0  1180 5400 11825  8  8 84  1  0
 0  0   1280 345476 432312 6813528    0    0     0  1198 5282 11497  6  8 86  1  0
