procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0    256 455936 432564 6826268    0    0     0     9    3    5  0  0 100  0  0
 0  0    256 440908 432564 6826312    0    0     0    30  746 1748  2  1 97  0  0
 0  0    256 447740 432564 6826312    0    0     0    10  524 1168  1  1 98  0  0
 0  0    256 449564 432564 6826316    0    0     0    69  890 1837  1  1 98  0  0
 0  0    256 446848 432564 6826332    0    0     0   194  862 1664  1  1 98  0  0
 0  0    256 440072 432564 6826364    0    0     0   182 1171 2500  1  1 97  0  0
 0  0    256 433520 432564 6826360    0    0     0   191  859 1891  1  1 98  0  0
 0  0    256 432492 432564 6826364    0    0     0   208 1110 2142  1  1 97  0  0
 0  0    256 433808 432564 6826380    0    0     0   181  925 1954  1  1 98  0  0
 0  0    256 440400 432564 6826432    0    0     0   184 1133 2478  1  1 97  0  0
 0  0    256 436620 432564 6826448    0    0     0   191  814 1723  1  1 98  0  0
 0  0    256 431124 432564 6826500    0    0     0   185  892 1927  1  1 97  0  0
 0  0    256 434956 432564 6826528    0    0     0   178  901 1977  1  1 98  0  0
 0  0    256 428880 432564 6826552    0    0     0   180 1135 2351  2  1 97  0  0
 0  0    256 441644 432564 6826504    0    0     0   187  730 1424  1  1 98  0  0
 1  0    256 432332 432564 6826540    0    0     0   177 1179 2517  2  1 97  0  0
 0  0    256 438932 432564 6826540    0    0     0   194  800 1765  1  1 98  0  0
 0  0    256 430476 432564 6826556    0    0     0   183 1157 2415  2  1 97  0  0
 0  0    256 440372 432564 6826572    0    0     0   191  756 1493  1  1 98  0  0
 0  0    256 437244 432564 6826588    0    0     0   182 1057 2356  2  1 97  0  0
 0  0    256 436252 432564 6826604    0    0     0   181  813 1821  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 430016 432564 6826624    0    0     0   181 1011 2029  1  1 97  0  0
 0  0    256 434388 432564 6826640    0    0     0   185  873 1915  1  1 98  0  0
 0  0    256 435184 432564 6826644    0    0     0   182 1238 2576  1  1 96  1  0
 0  0    256 435268 432564 6826676    0    0     0   184  804 1872  1  1 98  0  0
 0  0    256 432264 432564 6826772    0    0     0   196  976 2059  1  1 97  0  0
 0  0    256 434356 432564 6826788    0    0     0   178  940 2009  1  1 98  0  0
 0  0    256 431752 432564 6826824    0    0     0   214 1127 2305  2  1 97  0  0
 1  0    256 435328 432564 6826876    0    0     0   198  783 1571  1  1 98  0  0
 0  0    256 439724 432564 6826900    0    0     0   342 1294 2781  2  2 96  1  0
 0  0    256 439192 432564 6826916    0    0     0   225  996 2025  2  1 97  1  0
 0  0    256 432324 432564 6826932    0    0     0   230 1101 2489  2  2 96  1  0
 0  0    256 438924 432564 6826936    0    0     0   248  911 1813  1  1 98  1  0
 0  0    256 434760 432568 6826952    0    0     0   307 1287 2786  1  2 97  0  0
 1  0    256 436840 432568 6827016    0    0     0   278  983 2243  1  1 97  0  0
 0  0    256 442260 432568 6827040    0    0     0   304 1190 2408  2  1 97  0  0
 0  0    256 435740 432568 6827040    0    0     0   306 1056 2334  1  1 97  0  0
 0  0    256 432272 432568 6827056    0    0     0   318 1348 2885  2  2 96  0  0
 0  1    256 441184 432568 6827092    0    0     0   327  918 1949  1  1 97  1  0
 0  0    256 438240 432568 6827140    0    0     0   347 1394 2979  2  2 96  1  0
 0  0    256 436284 432568 6827156    0    0     0   375 1115 2449  1  1 97  1  0
 1  0    256 435084 432568 6827172    0    0     0   374 1489 3115  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 436432 432568 6827212    0    0     0   402 1093 2200  1  1 98  1  0
 0  0    256 434288 432568 6827260    0    0     0   399 1534 3405  2  2 96  1  0
 0  0    256 432820 432568 6827376    0    0     0   419 1184 2584  1  1 97  1  0
 1  0    256 437844 432568 6827444    0    0     0   438 1292 2823  2  1 97  1  0
 0  0    256 429836 432568 6827460    0    0     0   437 1243 2724  2  1 96  1  0
 0  0    256 442756 432572 6827536    0    0     0   473 1596 3476  2  2 96  1  0
